Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU01,deepseek,clases,rouge1,0.250,0.545,0.343
HU01,deepseek,clases,rouge2,0.087,0.200,0.121
HU01,deepseek,clases,rougeL,0.250,0.545,0.343
HU01,gemini,clases,rouge1,0.222,0.727,0.340
HU01,gemini,clases,rouge2,0.057,0.200,0.089
HU01,gemini,clases,rougeL,0.194,0.636,0.298
HU01,claude,clases,rouge1,0.133,0.727,0.225
HU01,claude,clases,rouge2,0.034,0.200,0.058
HU01,claude,clases,rougeL,0.133,0.727,0.225
HU01,gpt,clases,rouge1,0.364,0.727,0.485
HU01,gpt,clases,rouge2,0.095,0.200,0.129
HU01,gpt,clases,rougeL,0.318,0.636,0.424
HU01,mistral,clases,rouge1,0.136,0.545,0.218
HU01,mistral,clases,rouge2,0.047,0.200,0.075
HU01,mistral,clases,rougeL,0.136,0.545,0.218
HU02,deepseek,clases,rouge1,0.122,0.462,0.194
HU02,deepseek,clases,rouge2,0.021,0.083,0.033
HU02,deepseek,clases,rougeL,0.102,0.385,0.161
HU02,gemini,clases,rouge1,0.360,0.692,0.474
HU02,gemini,clases,rouge2,0.083,0.167,0.111
HU02,gemini,clases,rougeL,0.280,0.538,0.368
HU02,claude,clases,rouge1,0.229,0.615,0.333
HU02,claude,clases,rouge2,0.059,0.167,0.087
HU02,claude,clases,rougeL,0.200,0.538,0.292
HU02,gpt,clases,rouge1,0.321,0.692,0.439
HU02,gpt,clases,rouge2,0.074,0.167,0.103
HU02,gpt,clases,rougeL,0.250,0.538,0.341
HU02,mistral,clases,rouge1,0.280,0.538,0.368
HU02,mistral,clases,rouge2,0.083,0.167,0.111
HU02,mistral,clases,rougeL,0.240,0.462,0.316
HU03,llama,clases,rouge1,0.171,0.304,0.219
HU03,llama,clases,rouge2,0.050,0.091,0.065
HU03,llama,clases,rougeL,0.171,0.304,0.219
HU03,deepseek,clases,rouge1,0.113,0.261,0.158
HU03,deepseek,clases,rouge2,0.019,0.045,0.027
HU03,deepseek,clases,rougeL,0.113,0.261,0.158
HU03,gemini,clases,rouge1,0.222,0.696,0.337
HU03,gemini,clases,rouge2,0.127,0.409,0.194
HU03,gemini,clases,rougeL,0.208,0.652,0.316
HU03,claude,clases,rouge1,0.236,0.739,0.358
HU03,claude,clases,rouge2,0.113,0.364,0.172
HU03,claude,clases,rougeL,0.236,0.739,0.358
HU03,gpt,clases,rouge1,0.600,0.652,0.625
HU03,gpt,clases,rouge2,0.250,0.273,0.261
HU03,gpt,clases,rougeL,0.440,0.478,0.458
HU03,mistral,clases,rouge1,0.259,0.652,0.370
HU03,mistral,clases,rouge2,0.105,0.273,0.152
HU03,mistral,clases,rougeL,0.172,0.435,0.247
HU04,llama,clases,rouge1,0.156,0.259,0.194
HU04,llama,clases,rouge2,0.045,0.077,0.057
HU04,llama,clases,rougeL,0.133,0.222,0.167
