Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU01,deepseek,clases,rouge1,0.353,0.545,0.429
HU01,deepseek,clases,rouge2,0.125,0.200,0.154
HU01,deepseek,clases,rougeL,0.353,0.545,0.429
HU01,gemini,clases,rouge1,0.167,0.636,0.264
HU01,gemini,clases,rouge2,0.049,0.200,0.078
HU01,gemini,clases,rougeL,0.143,0.545,0.226
HU01,claude,clases,rouge1,0.136,0.727,0.229
HU01,claude,clases,rouge2,0.052,0.300,0.088
HU01,claude,clases,rougeL,0.136,0.727,0.229
HU01,gpt,clases,rouge1,0.292,0.636,0.400
HU01,gpt,clases,rouge2,0.087,0.200,0.121
HU01,gpt,clases,rougeL,0.292,0.636,0.400
HU01,mistral,clases,rouge1,0.116,0.455,0.185
HU01,mistral,clases,rouge2,0.024,0.100,0.038
HU01,mistral,clases,rougeL,0.116,0.455,0.185
HU02,deepseek,clases,rouge1,0.250,0.538,0.341
HU02,deepseek,clases,rouge2,0.074,0.167,0.103
HU02,deepseek,clases,rougeL,0.214,0.462,0.293
HU02,gemini,clases,rouge1,0.300,0.692,0.419
HU02,gemini,clases,rouge2,0.069,0.167,0.098
HU02,gemini,clases,rougeL,0.233,0.538,0.326
HU02,claude,clases,rouge1,0.286,0.615,0.390
HU02,claude,clases,rouge2,0.074,0.167,0.103
HU02,claude,clases,rougeL,0.250,0.538,0.341
HU02,gpt,clases,rouge1,0.321,0.692,0.439
HU02,gpt,clases,rouge2,0.074,0.167,0.103
HU02,gpt,clases,rougeL,0.250,0.538,0.341
HU02,mistral,clases,rouge1,0.364,0.615,0.457
HU02,mistral,clases,rouge2,0.095,0.167,0.121
HU02,mistral,clases,rougeL,0.273,0.462,0.343
HU03,llama,clases,rouge1,0.321,0.391,0.353
HU03,llama,clases,rouge2,0.074,0.091,0.082
HU03,llama,clases,rougeL,0.250,0.304,0.275
HU03,gemini,clases,rouge1,0.197,0.522,0.286
HU03,gemini,clases,rouge2,0.083,0.227,0.122
HU03,gemini,clases,rougeL,0.180,0.478,0.262
HU03,claude,clases,rouge1,0.288,0.739,0.415
HU03,claude,clases,rouge2,0.103,0.273,0.150
HU03,claude,clases,rougeL,0.288,0.739,0.415
HU03,gpt,clases,rouge1,0.500,0.696,0.582
HU03,gpt,clases,rouge2,0.194,0.273,0.226
