Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU01,llama,clases,rouge1,0.171,0.545,0.261
HU01,llama,clases,rouge2,0.059,0.200,0.091
HU01,llama,clases,rougeL,0.143,0.455,0.217
HU01,deepseek,clases,rouge1,0.140,0.545,0.222
HU01,deepseek,clases,rouge2,0.048,0.200,0.077
HU01,deepseek,clases,rougeL,0.140,0.545,0.222
HU01,gemini,clases,rouge1,0.316,0.545,0.400
HU01,gemini,clases,rouge2,0.056,0.100,0.071
HU01,gemini,clases,rougeL,0.263,0.455,0.333
HU01,claude,clases,rouge1,0.242,0.727,0.364
HU01,claude,clases,rouge2,0.062,0.200,0.095
HU01,claude,clases,rougeL,0.242,0.727,0.364
HU01,gpt,clases,rouge1,0.308,0.727,0.432
HU01,gpt,clases,rouge2,0.080,0.200,0.114
HU01,gpt,clases,rougeL,0.308,0.727,0.432
HU01,mistral,clases,rouge1,0.095,0.364,0.151
HU01,mistral,clases,rouge2,0.024,0.100,0.039
HU01,mistral,clases,rougeL,0.095,0.364,0.151
HU02,llama,clases,rouge1,0.212,0.538,0.304
HU02,llama,clases,rouge2,0.062,0.167,0.091
HU02,llama,clases,rougeL,0.182,0.462,0.261
HU02,deepseek,clases,rouge1,0.130,0.538,0.209
HU02,deepseek,clases,rouge2,0.038,0.167,0.062
HU02,deepseek,clases,rougeL,0.111,0.462,0.179
HU02,gemini,clases,rouge1,0.346,0.692,0.462
HU02,gemini,clases,rouge2,0.080,0.167,0.108
HU02,gemini,clases,rougeL,0.269,0.538,0.359
HU02,claude,clases,rouge1,0.229,0.615,0.333
HU02,claude,clases,rouge2,0.059,0.167,0.087
HU02,claude,clases,rougeL,0.200,0.538,0.292
HU02,gpt,clases,rouge1,0.444,0.615,0.516
HU02,gpt,clases,rouge2,0.118,0.167,0.138
HU02,gpt,clases,rougeL,0.389,0.538,0.452
HU02,mistral,clases,rouge1,0.250,0.385,0.303
HU02,mistral,clases,rouge2,0.105,0.167,0.129
HU02,mistral,clases,rougeL,0.250,0.385,0.303
HU03,llama,clases,rouge1,0.341,0.652,0.448
HU03,llama,clases,rouge2,0.186,0.364,0.246
HU03,llama,clases,rougeL,0.318,0.609,0.418
HU03,gemini,clases,rouge1,0.250,0.696,0.368
HU03,gemini,clases,rouge2,0.127,0.364,0.188
HU03,gemini,clases,rougeL,0.234,0.652,0.345
HU03,claude,clases,rouge1,0.258,0.739,0.382
HU03,claude,clases,rouge2,0.138,0.409,0.207
HU03,claude,clases,rougeL,0.258,0.739,0.382
HU03,gpt,clases,rouge1,0.381,0.696,0.492
HU03,gpt,clases,rouge2,0.195,0.364,0.254
HU03,gpt,clases,rougeL,0.357,0.652,0.462
HU03,mistral,clases,rouge1,0.269,0.304,0.286
HU03,mistral,clases,rouge2,0.120,0.136,0.128
HU03,mistral,clases,rougeL,0.269,0.304,0.286
HU04,llama,clases,rouge1,0.371,0.481,0.419
HU04,llama,clases,rouge2,0.118,0.154,0.133
HU04,llama,clases,rougeL,0.314,0.407,0.355
HU04,deepseek,clases,rouge1,0.107,0.444,0.173
HU04,deepseek,clases,rouge2,0.027,0.115,0.044
HU04,deepseek,clases,rougeL,0.089,0.370,0.144
HU04,gemini,clases,rouge1,0.125,0.741,0.214
HU04,gemini,clases,rouge2,0.050,0.308,0.086
HU04,gemini,clases,rougeL,0.113,0.667,0.193
HU04,claude,clases,rouge1,0.200,0.741,0.315
HU04,claude,clases,rouge2,0.051,0.192,0.080
HU04,claude,clases,rougeL,0.190,0.704,0.299
HU04,gpt,clases,rouge1,0.326,0.556,0.411
HU04,gpt,clases,rouge2,0.111,0.192,0.141
HU04,gpt,clases,rougeL,0.239,0.407,0.301
HU04,mistral,clases,rouge1,0.348,0.296,0.320
HU04,mistral,clases,rouge2,0.136,0.115,0.125
HU04,mistral,clases,rougeL,0.348,0.296,0.320
HU05,llama,clases,rouge1,0.093,0.357,0.147
HU05,llama,clases,rouge2,0.038,0.154,0.061
HU05,llama,clases,rougeL,0.093,0.357,0.147
HU05,gemini,clases,rouge1,0.132,0.500,0.209
HU05,gemini,clases,rouge2,0.019,0.077,0.031
HU05,gemini,clases,rougeL,0.132,0.500,0.209
HU05,claude,clases,rouge1,0.184,0.500,0.269
