Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Recall 1,Recall 2,Recall 3,Recall 4,Recall 5,Recall 6,Recall 7,Recall 8,Recall 9,Recall 10
HU01,llama,clases,rougeL,0.545,0.364,0.545,0.545,0.636,0.636,0.545,0.455,0.545,0.455
HU01,deepseek,clases,rougeL,0.545,0.455,0.727,0.545,0.545,0.636,0.364,0.545,0.727,0.545
HU01,gemini,clases,rougeL,0.455,0.455,0.545,0.455,0.364,0.455,0.636,0.364,0.455,0.455
HU01,claude,clases,rougeL,0.818,0.636,0.636,0.818,0.818,0.818,0.636,0.636,0.636,0.727
HU01,gpt,clases,rougeL,0.727,0.727,0.545,0.545,0.545,0.727,0.636,0.727,0.727,0.727
HU01,mistral,clases,rougeL,0.455,0.545,0.364,0.636,0.545,0.727,0.636,0.545,0.636,0.364
HU02,llama,clases,rougeL,0.462,0.462,0.462,0.538,0.538,0.538,0.462,0.462,0.462,0.462
HU02,deepseek,clases,rougeL,0.538,,0.538,0.385,0.538,0.538,0.462,0.385,0.615,0.462
HU02,gemini,clases,rougeL,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538
HU02,claude,clases,rougeL,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538
HU02,gpt,clases,rougeL,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538
HU02,mistral,clases,rougeL,0.462,0.462,,0.385,,0.462,0.462,0.385,0.385,0.385
HU03,llama,clases,rougeL,0.435,0.522,0.435,0.391,0.435,0.522,0.565,0.522,0.478,0.609
HU03,deepseek,clases,rougeL,0.304,0.478,0.391,0.565,0.478,,0.478,0.304,0.435,
HU03,gemini,clases,rougeL,0.609,0.522,0.609,0.609,0.609,0.739,0.696,0.609,0.522,0.652
HU03,claude,clases,rougeL,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739
HU03,gpt,clases,rougeL,0.522,0.565,0.304,0.609,0.391,0.696,0.261,0.565,0.478,0.652
HU03,mistral,clases,rougeL,0.478,0.435,0.304,0.478,0.435,,0.348,0.565,,0.304
HU04,llama,clases,rougeL,0.407,,0.333,0.556,0.407,0.37,0.259,0.296,0.481,0.407
HU04,deepseek,clases,rougeL,0.259,0.37,0.407,0.556,0.481,0.222,0.222,0.333,0.407,0.37
HU04,gemini,clases,rougeL,0.778,0.704,0.704,0.63,0.667,0.741,0.778,0.667,0.778,0.667
HU04,claude,clases,rougeL,0.704,0.704,0.741,0.704,0.704,0.704,0.704,0.704,0.704,0.704
HU04,gpt,clases,rougeL,0.444,0.519,0.444,0.667,0.407,0.444,0.407,0.667,0.444,0.407
HU04,mistral,clases,rougeL,0.333,0.259,0.296,0.333,0.296,,0.407,0.333,0.259,0.296
HU05,llama,clases,rougeL,0.429,0.5,0.429,0.571,0.5,0.286,0.571,0.5,0.286,0.357
HU05,deepseek,clases,rougeL,0.429,0.429,0.429,0.5,0.357,0.643,0.357,,,
HU05,gemini,clases,rougeL,0.5,0.429,0.786,0.5,0.714,0.643,0.571,0.643,0.429,0.5
HU05,claude,clases,rougeL,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
HU05,gpt,clases,rougeL,0.429,0.429,0.429,0.5,0.571,0.357,0.571,0.429,0.5,0.429
HU05,mistral,clases,rougeL,0.571,0.429,0.429,0.429,0.429,0.429,,0.429,0.429,0.571
HU06,llama,clases,rougeL,0.179,0.25,0.179,0.214,0.214,0.286,0.214,0.25,0.214,0.321
HU06,deepseek,clases,rougeL,0.143,0.214,,0.214,0.25,0.25,0.25,0.214,0.107,0.214
HU06,gemini,clases,rougeL,0.214,0.25,0.25,0.25,0.286,0.214,0.25,0.286,0.25,0.25
HU06,claude,clases,rougeL,0.286,0.286,0.286,0.286,0.25,0.286,0.286,0.286,0.286,0.286
HU06,gpt,clases,rougeL,0.179,0.286,0.357,0.393,0.286,0.25,0.321,0.25,0.357,0.357
HU06,mistral,clases,rougeL,0.25,0.179,0.25,0.179,0.214,0.25,0.25,0.143,0.214,0.179
HU07,llama,clases,rougeL,0.556,0.444,0.444,0.444,0.5,0.444,0.444,0.556,0.444,0.444
HU07,deepseek,clases,rougeL,0.444,0.5,0.5,0.444,0.333,0.5,0.556,0.5,0.444,
HU07,gemini,clases,rougeL,0.5,0.611,0.556,0.5,0.444,0.611,0.556,0.5,0.5,0.556
HU07,claude,clases,rougeL,0.5,0.5,0.5,0.5,0.5,0.611,0.611,0.5,0.5,0.5
HU07,gpt,clases,rougeL,0.5,0.556,0.5,0.444,0.611,0.611,0.722,0.556,0.5,0.5
HU07,mistral,clases,rougeL,0.333,0.333,,,0.389,0.389,,0.5,0.389,0.556
HU08,llama,clases,rougeL,0.343,0.429,0.4,0.371,0.257,0.314,0.257,0.257,0.2,0.343
HU08,deepseek,clases,rougeL,0.429,0.429,0.371,0.286,0.286,,0.4,0.429,0.286,0.286
HU08,gemini,clases,rougeL,0.514,0.514,0.543,0.629,0.629,0.514,0.629,0.6,0.514,0.6
HU08,claude,clases,rougeL,0.514,0.514,0.514,0.514,0.514,0.543,0.714,0.514,0.514,0.571
HU08,gpt,clases,rougeL,0.543,0.657,0.371,0.4,0.257,0.4,0.571,0.657,0.286,0.486
HU08,mistral,clases,rougeL,0.486,,0.314,0.343,,0.314,0.371,0.4,0.429,0.371
HU09,llama,clases,rougeL,0.447,,0.447,0.395,0.474,0.447,0.5,0.395,0.474,0.632
HU09,deepseek,clases,rougeL,0.474,0.316,0.447,,0.395,0.553,0.526,0.421,0.447,
HU09,gemini,clases,rougeL,0.395,0.316,0.605,0.316,0.316,0.447,0.474,0.368,0.447,0.447
HU09,claude,clases,rougeL,0.368,0.421,0.289,0.368,0.289,0.368,0.395,0.395,0.368,0.474
HU09,gpt,clases,rougeL,0.5,0.342,0.5,0.395,0.605,0.421,0.605,0.605,0.447,0.421
HU09,mistral,clases,rougeL,0.474,,0.421,0.421,0.5,0.421,,0.421,0.5,0.5
HU10,llama,clases,rougeL,0.282,0.256,0.179,0.231,0.205,0.231,0.308,0.205,0.205,0.205
HU10,deepseek,clases,rougeL,0.205,0.256,0.256,0.103,,0.103,0.179,0.256,0.154,0.154
HU10,gemini,clases,rougeL,0.385,0.333,0.487,0.282,0.41,0.41,0.436,0.41,0.385,0.41
HU10,claude,clases,rougeL,0.462,0.462,0.385,0.462,0.462,0.462,0.462,0.359,0.462,0.462
HU10,gpt,clases,rougeL,0.231,0.231,0.231,0.231,0.179,0.231,0.231,0.179,0.231,0.256
HU10,mistral,clases,rougeL,0.282,0.282,0.231,,0.256,0.282,0.231,0.205,0.282,0.256
