Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Recall 1,Recall 2,Recall 3,Recall 4,Recall 5,Recall 6,Recall 7,Recall 8,Recall 9,Recall 10
HU01,llama,clases,rouge1,0.545,0.545,,0.545,0.545,0.545,0.545,,0.545,0.545
HU01,llama,clases,rouge2,0.2,0.2,,0.2,0.2,0.2,0.2,,0.2,0.2
HU01,llama,clases,rougeL,0.545,0.545,,0.545,0.545,0.545,0.545,,0.545,0.545
HU01,deepseek,clases,rouge1,0.545,0.636,0.545,0.727,0.636,0.545,0.455,0.636,0.636,0.545
HU01,deepseek,clases,rouge2,0.1,0.2,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.2
HU01,deepseek,clases,rougeL,0.545,0.636,0.545,0.727,0.636,0.545,0.455,0.636,0.636,0.545
HU01,gemini,clases,rouge1,0.545,0.545,0.727,0.636,0.636,0.636,0.636,0.545,0.727,0.727
HU01,gemini,clases,rouge2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
HU01,gemini,clases,rougeL,0.545,0.455,0.636,0.545,0.545,0.636,0.636,0.545,0.636,0.636
HU01,claude,clases,rouge1,0.727,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.727,0.636
HU01,claude,clases,rouge2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
HU01,claude,clases,rougeL,0.727,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.727,0.636
HU01,gpt,clases,rouge1,0.636,0.727,0.455,0.727,0.727,0.727,0.727,0.727,0.727,0.727
HU01,gpt,clases,rouge2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
HU01,gpt,clases,rougeL,0.636,0.636,0.455,0.636,0.636,0.636,0.636,0.636,0.636,0.636
HU01,mistral,clases,rouge1,0.727,0.727,0.727,0.727,0.545,0.727,0.727,0.636,0.727,0.727
HU01,mistral,clases,rouge2,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2
HU01,mistral,clases,rougeL,0.727,0.636,0.727,0.727,0.545,0.636,0.727,0.636,0.727,0.727
HU02,llama,clases,rouge1,0.615,0.615,,0.692,0.692,0.615,,,0.615,0.692
HU02,llama,clases,rouge2,0.25,0.25,,0.417,0.25,0.25,,,0.25,0.25
HU02,llama,clases,rougeL,0.538,0.615,,0.692,0.538,0.538,,,0.615,0.615
HU02,deepseek,clases,rouge1,0.615,0.615,0.615,0.615,0.538,0.615,0.538,0.615,0.692,0.615
HU02,deepseek,clases,rouge2,0.25,0.167,0.25,0.25,0.167,0.333,0.25,0.25,0.25,0.333
HU02,deepseek,clases,rougeL,0.615,0.538,0.615,0.615,0.462,0.615,0.462,0.538,0.615,0.615
HU02,gemini,clases,rouge1,0.769,0.769,0.769,0.769,0.846,0.846,0.846,0.769,0.769,0.846
